TrainCategory,TrainID,Route
IC,193,[KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - LV - MV - OD]
L,22,[AR - KGV - SD - HÅ - HS - HED - VJ - BET - FA - SNO - OD - MV - KH - BAN - CPH]
RØ,231,[CPH - TÅT - ØRE - KLV - NEL - IG - HTÅ - HH - TRK - RO - VY - RG - FJ - SO - SG]
RØ,2265,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO - VY - BO - KY - RG - GZ - NÆ]
IC,835,[HGL - KK - KN - KH - GB - NEL - IG - KJN - LEL - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - OD - HP - MD - SNO - KD - LK - VN - BP - BM - TB - ES]
RØ,4219,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH]
RR,983,[FA - TL - KD - LK - VM - FZ - OJ - RQ - TE - KW - GST - SDB]
IC,460,[AR - KGV - SD - HÅ - HS - HED - VJ - BET - FA]
RØ,4202,[NÆ - GZ - RG - KY - BO - VY - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RØ,4552,[HK - PE - TØ - HV - LJ - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
RV,2768,[FA - SNO - MD - KA - NA - EB - GD - AP - BD - SC - TP - HP - OD]
IC,202,[OD - MV - NG - SPR - SG - SO - FJ - RG - KY - RO - TRK - HH - HTÅ - GL - NEL - KLV - ØRE - TÅT - CPH]
RØ,2583,[HG - SQ - GÆ - HUM - NI - OK - RU - VB - SÅ - KL - HL - HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - TRK - RO]
M,9700,[KH - KN - HGL]
L,11,[OD - HP - MD - SNO - FA - BK - VJ - HED - HS - HÅ - SD - HX - AR]
RØ,2228,[NÆ - GZ - RG - KY - BO - VY - RO - TRK - HH - HTÅ - GL - VAL - KH - KN - KK - HGL - HL - KL - SÅ - VB - RU - OK - NI - HUM - GÆ - SQ - HG]
L,4018,[AB - OG - HB - FP - RD - LG - AR]
IC,161,[HGL - KK - KN - KH - VAL - HIF - HTÅ - HH - RO - VY - RG - FJ - SO - SG - FO - KØ - SPR - NG - JU - LV - MV - OD - HP - MD - SNO - FA]
M,6320,[CPH - TÅT - KH - KN - KK - HGL]
