TrainCategory,TrainId,Route
IC,5752,"FLB/80, FA/86"
RØ,1237,"KH/86, NF/86"
RØ,1269,"KH/86, NF/86"
L,4034,"ABL/86, AR/86"
L,4063,"AR/86, AB/86"
IC,5759,"FA/86, FLB/80"
RØ,2277,"HG/86, NÆ/86"
RV,2754,"FA/86, OD/86"
RV,2925,"FA/86, AR/86"
RØ,235,"CPH/86, SG/86"
RØ,2264,"NÆ/86, HG/86"
RØ,4849,"NÆ/86, NF/86"
RV,2742,"FA/86, OD/86"
RØ,1221,"KH/86, NF/86"
RV,2936,"AR/86, FA/86"
IC,2316,"FA/86, ES/86"
RØ,4206,"VO/86, HG/86"
RV,2972,"AR/86, FA/86"
IC,238,"OD/86, CPH/86"
RØ,2452,"NÆ/86, KH/86"
IC,5765,"FA/86, FLB/80"
M,6314,"CPH/86, KH/86"
RØ,2546,"HK/86, HG/86"
RØ,3363,"HGL/86, RO/86"
RØ,4829,"NÆ/86, NF/86"
M,12399,"HGL/86, KH/86"
IC,448,"AR/86, FA/86"
RØ,2547,"HG/86, HK/86"
RØ,4242,"NÆ/86, HG/86"
RV,2956,"AR/86, FA/86"
IC,4133,"AR/86, ABL/86"
IC,191,"KH/86, FA/86, AR/86"
RØ,2272,"KH/86, HG/86"
IC,152,"AR/86, FA/86, KH/86"
IC,5763,"FA/86, FLB/80"
RØ,1272,"NF/86, KH/86"
RØ,2550,"HK/86, HG/86"
L,59,"CPH/86, FA/86, VJ/86, AR/86"
